ID,City,Latitude,Longitude
715,Shannon,33.405278,-86.871944
716,Sheffield,34.757829,-87.697057
717,Shelby,33.078483,-86.553606
718,Shorter,32.383585,-85.91616
719,Shorterville,31.625627,-85.14584
720,Silas,31.766754,-88.309149
721,Siluria,33.244167,-86.816389
722,Silverhill,30.522237,-87.745676
723,Sipsey,33.824722,-87.086111
724,Skipperville,31.551588,-85.549578
725,Slocomb,31.095558,-85.582954
726,Smiths Station,32.520072,-85.100027
727,Somerville,34.499548,-86.800931
728,Spanish Fort,30.695852,-87.88668
729,Spring Garden,33.972778,-85.553889
730,Springville,33.738647,-86.439407
731,Spruce Pine,34.384796,-87.712149
732,Stanton,32.709631,-86.886848
733,Stapleton,30.7425,-87.793333
734,Steele,33.941679,-86.228929
735,Sterrett,33.446103,-86.491732
736,Stevenson,34.876885,-85.850803
737,Stockton,31.01293,-87.863323
738,Sulligent,33.8549,-88.150774
739,Sumiton,33.768005,-87.044545
740,Summerdale,30.475225,-87.699183
741,Sunflower,31.382222,-88.008333
